Проект,Пользователь,Среднее количество слов в задаче,Задача,Время затраченное на проект,Время затраченное суммарно на задачу
 =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02,7,0.036468990493435945,235,179.92857142857142,5.359574468085106
 =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03,4,0.09088010204081633,112,94.875,3.388392857142857
 SAP22004_KONS_03 Заработная плата и кадры,7,0.012274824564386855,594,555.4285714285714,6.545454545454546
 Релизы ТУРБО,15,0.027903551632516992,317,113.73333333333333,5.381703470031546
=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х,9,0.028270533536196654,343,126.1888888888889,3.311078717201166
>>Исправление ошибок в клоне системы,2,1.1944444444444444,6,26.0,8.666666666666666
NIS Сербия SAP23006_NPS_01  ,9,0.012075948611290788,634,221.0,3.137223974763407
"SAP19019_GKSEG_01 ГК ""Сегежа"" генподрядчик ""БерингПойнт""",1,7.0,1,4.0,4.0
SAP19026_GIDRO_03- «Функциональное развитие системы управления персоналом ПАО «РусГидро.»,5,0.07457797933988411,63,54.2,4.301587301587301
SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,10,0.02993125,400,219.65,5.49125
SAP21010_MC_32 - Услуги по обеспечению функционирования ПО SAP (2021-2024),2,1.222222222222222,6,8.0,2.6666666666666665
SAP21011_RA_07 РусАгро переход с SAP HCM на 1С,5,0.02714303749526575,267,263.6,4.936329588014981
SAP21017_PWM_01: СМ_ОтчетВК,1,0.8461538461538461,13,61.0,4.6923076923076925
SAP21022_MOEK_39 Реализация механизма запрета на распределение оплат,2,0.4342857142857143,35,90.0,5.142857142857143
SAP21023_MOEK_41 Предоставление документов по запросу в ЕЛК,1,1.0,20,142.0,7.1
SAP21025_DM_01 Детский мир,1,1.2857142857142858,7,40.0,5.714285714285714
SAP21026_PRPM_01_Протон-М,2,0.1751923947487551,47,86.0,3.6595744680851063
SAP22001_MOEK_42 МОЭК ТП HR,6,0.08238636363636363,88,71.0,4.840909090909091
SAP22006_KONS_04 - Переход на платформу 10.5,6,0.12364279101085766,109,101.08333333333333,5.564220183486238
SAP22008_KONS_06 ТУРБО BI Дашборды ,1,0.2222222222222222,45,346.0,7.688888888888889
SAP22010_GKSEG_01: ТП и ЗНИ,2,0.404320987654321,18,49.0,5.444444444444445
SAP22012_KONS_07 Интеграция SAP -ТУРБО,4,0.17122781065088757,52,62.5,4.8076923076923075
SAP22015_TELE_01 Раздельный учет НДС TELE2,1,0.10011362201742204,89,480.0,5.393258426966292
SAP22019_MOEK_43 Обновление модуля «Сбыт для теплоэнергетики» корпоративной информационной системы ПАО «МОЭК» на базе программного обеспечения SAP IS-U,1,5.0,2,12.0,6.0
SAP22030_NOKT_01 Нокиан  ,17,0.00959499629928459,1039,421.11764705882354,6.890279114533205
SAP22030_NOKT_02 Нокиан  вторая очередь,8,0.01809611985523104,109,65.0,4.770642201834862
SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс,4,0.018601127851190977,218,152.75,2.802752293577982
Белгородская индейка,13,0.015367976471392908,684,195.34615384615384,3.712719298245614
Внутренний проект ТУРБО ТОРО (Mobile),1,2.0,2,0.02,0.01
Доработки 2204 и 2205,1,1.6666666666666667,3,16.0,5.333333333333333
Пилотный проект Аэрофлот (ТТ+ТБ),1,1.9166666666666667,6,39.0,6.5
Поддержка прикладных решений ТУРБО,6,0.23688271604938274,36,24.666666666666668,4.111111111111111
Развитие НУ,5,0.03759765625,64,55.0,4.296875
Ролевая модель РАИ,4,0.8271604938271605,9,19.0,8.444444444444445
РусАгро - ЗНИ,18,0.0009952049757859342,2241,618.4566666666666,4.967523427041499
РусАгро - Инциденты ,2,3.5,2,3.0,3.0
РусАгро - Тех.поддержка,15,0.011994646599833337,597,155.34666666666666,3.903182579564489
РусАгро - Штрих-кодирование,8,0.004907768907535821,393,261.375,5.320610687022901
СудДеп,17,0.005891598932842458,1604,352.94705882352946,3.74071072319202
ТУРБО Закупки,10,0.01780714061602761,411,237.2,5.771289537712895
ФК Зенит,2,0.236328125,32,69.5,4.34375
Федеральное Казначейство,11,0.017591197726969356,458,253.1818181818182,6.080786026200873
Цифровая трансформация на базе решений SAP S/4HANA в ГК «Сегежа»,1,10.0,1,4.0,4.0
